Frontend_File,Frontend_Function,HTTP_Method,Frontend_URL,Backend_File,Backend_Function,Backend_Route,Database_Tables,Stored_Procedures,Flow_Calls,Response_Model,Response_Fields,Nested_Fields,Table_Column_Details
canvases.ts,refreshCanvas,POST,/api/v2/canvas/rebuild,canvas.py,rebuild_canvas,/api/v2/canvas/rebuild,DC_CAM_TO_ENGAGEMENT;DC_ENGAGEMENT_HDR;DC_CANVAS_HDR,,rebuild_canvas_flow,V2CanvasRead,"canvas_desc,canvas_id,canvas_name,create_dtm,current_snapshot_name,historical_snapshot_name,dc_engagement_id,pinboards,extract_actions,tag_actions,notification_id,enabled",,"DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_CANVAS_HDR:[CANVAS_DESC,CANVAS_ID,CANVAS_NAME,CANVAS_STATUS,CANVAS_TYPE,CURRENT_SNAPSHOT_NAME,DC_ENGAGEMENT_ID,ENABLED,FILE_PATH,FILE_UPLOAD_STATUS,HISTORICAL_SNAPSHOT_NAME,NOTIFICATION_ID,ROWCOUNT,SOURCE_DATA_DATE_FILTER]"
canvases.ts,deleteCanvas,DELETE,/api/v2/canvas/{engagement_id}/canvas/{canvas_id},canvas.py,delete_canvas,/api/v2/canvas/{engagement_id}/canvas/{canvas_id},DC_CAM_TO_ENGAGEMENT;DC_CANVAS_HDR,,emit_canvas_deleted,V2CanvasRead,"canvas_desc,canvas_id,canvas_name,create_dtm,current_snapshot_name,historical_snapshot_name,dc_engagement_id,pinboards,extract_actions,tag_actions,notification_id,enabled",,"DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_CANVAS_HDR:[CANVAS_DESC,CANVAS_ID,CANVAS_NAME,CANVAS_STATUS,CANVAS_TYPE,CURRENT_SNAPSHOT_NAME,DC_ENGAGEMENT_ID,ENABLED,FILE_PATH,FILE_UPLOAD_STATUS,HISTORICAL_SNAPSHOT_NAME,NOTIFICATION_ID,ROWCOUNT,SOURCE_DATA_DATE_FILTER]"
canvases.ts,getCustomerCollectorFiles,GET,/api/v2/canvas/{engagement_id}/evidence_uploads,canvas.py,get_evidence_uploads,/api/v2/canvas/{engagement_id}/evidence_uploads,DC_EVIDENCE_COLLECTOR_HDR;DC_USER_DEFINED_TYPE;DC_EVIDENCE_CUSTOMER_HDR,,,list[V2CanvasEvidenceUploadResponse],"request_id,effective_date,source,note,file_name_id,dc_engagement_id,type,file_name",,"DC_EVIDENCE_COLLECTOR_HDR:[DC_ENGAGEMENT_ID,EFFECTIVE_DATE,FILE_NAME_ID,NOTE,REQUEST_ID,SOURCE];DC_USER_DEFINED_TYPE:[DC_ENGAGEMENT_ID,FIELD_NAME,ID,VALUE];DC_EVIDENCE_CUSTOMER_HDR:[DC_ENGAGEMENT_ID,EFFECTIVE_DATE,FILE_NAME_ID,NOTE,REQUEST_ID,SOURCE]"
canvases.ts,getSnapshotDates,GET,/api/v2/canvas/snapshots,canvas.py,get_snapshots,/api/v2/canvas/snapshots,DC_SNAPSHOT_DATA,,,V2SnapshotDataResponse,,,"DC_SNAPSHOT_DATA:[NAME,SNAPSHOT_DATE,SNAPSHOT_VERSION]"
contracts.ts,getLinkableContracts,GET,/api/v2/contracts/linkable/,contracts.py,linkable_contracts_v2,/api/v2/contracts/linkable/,DC_USERS;DC_BOOKINGS_USER_ROLE;DC_BUYING_PROGRAMS;DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER;DC_PRICING_MODEL;DC_BOOKINGS_CONTRACTS_RESPONSIBLE_USERS;DC_ENGAGEMENT_HDR;DC_BOOKINGS_CONTRACTS;DC_SOLD_AS_SERVICE_TYPES,,,,,,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_BOOKINGS_USER_ROLE:[BOOKINGS_ROLE,BOOKINGS_ROLE_ID];DC_BUYING_PROGRAMS:[BUYING_PROGRAM_NAME,BUYING_PROGRAM_TYPE_ID];DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER:[BOOKING_CONTRACT,DC_ENGAGEMENT_ID,DC_USER_ID];DC_PRICING_MODEL:[PRICING_MODEL_NAME,PRICING_TYPE_ID];DC_BOOKINGS_CONTRACTS_RESPONSIBLE_USERS:[BOOKING_CONTRACT,DC_USER_ID,NOTES,SERVICE_ROLE_ID,SUB_ALLOCATION_HW,SUB_ALLOCATION_SW];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_BOOKINGS_CONTRACTS:[unknown];DC_SOLD_AS_SERVICE_TYPES:[SERVICE_TYPE_ID,SOLD_AS_SERVICE_NAME]"
contracts.ts,getContractsBooking,GET,/api/v2/contracts/booking/{dc_engagement_id},contracts.py,get_booking_contracts,/api/v2/contracts/booking/{dc_engagement_id},DC_USERS;DC_MANAGED_SERVICE_CONTRACTS;DC_BUYING_PROGRAMS;DC_CAM_TO_ENGAGEMENT;DC_BOOKING_CONTRACTS_EXTENSIONS;DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER;DC_PRICING_MODEL;DC_BOOKINGS_CONTRACTS_RESPONSIBLE_USERS;DC_ENGAGEMENT_HDR;DC_BOOKINGS_CONTRACTS;DC_SOLD_AS_SERVICE_TYPES,,,list[V2BookingContractRead],"booking_contract,account_name,agreement_start_date,agreement_end_date,effective_end_date,sold_as_service_name,sold_as_pricing_model,sold_as_buying_program,dc_engagement_id,responsible_users",,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_MANAGED_SERVICE_CONTRACTS:[ALLOWED_SERVICE_LEVELS,BOOKING_CONTRACT,CONTRACT_NAME,CONTRACT_NUMBER,DC_ENGAGEMENT_ID,DC_USER_ID,NOTES];DC_BUYING_PROGRAMS:[BUYING_PROGRAM_NAME,BUYING_PROGRAM_TYPE_ID];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_BOOKING_CONTRACTS_EXTENSIONS:[BOOKING_CONTRACT,EXTENSION_END_DATE,EXTENSION_START_DATE];DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER:[BOOKING_CONTRACT,DC_ENGAGEMENT_ID,DC_USER_ID];DC_PRICING_MODEL:[PRICING_MODEL_NAME,PRICING_TYPE_ID];DC_BOOKINGS_CONTRACTS_RESPONSIBLE_USERS:[BOOKING_CONTRACT,DC_USER_ID,NOTES,SERVICE_ROLE_ID,SUB_ALLOCATION_HW,SUB_ALLOCATION_SW];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_BOOKINGS_CONTRACTS:[unknown];DC_SOLD_AS_SERVICE_TYPES:[SERVICE_TYPE_ID,SOLD_AS_SERVICE_NAME]"
contracts.ts,updateManagedContract,POST,/api/v2/contracts/managed/{dc_engagement_id},contracts.py,net_managed_contracts_v2,/api/v2/contracts/managed/{dc_engagement_id},DC_USERS;DC_MANAGED_SERVICE_CONTRACTS;DC_BUYING_PROGRAMS;DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER;DC_BOOKING_CONTRACTS_EXTENSIONS;DC_PRICING_MODEL;DC_BOOKINGS_CONTRACTS_RESPONSIBLE_USERS;DC_BOOKINGS_CONTRACTS;DC_SOLD_AS_SERVICE_TYPES,,,None,,,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_MANAGED_SERVICE_CONTRACTS:[ALLOWED_SERVICE_LEVELS,BOOKING_CONTRACT,CONTRACT_NAME,CONTRACT_NUMBER,DC_ENGAGEMENT_ID,DC_USER_ID,NOTES];DC_BUYING_PROGRAMS:[BUYING_PROGRAM_NAME,BUYING_PROGRAM_TYPE_ID];DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER:[BOOKING_CONTRACT,DC_ENGAGEMENT_ID,DC_USER_ID];DC_BOOKING_CONTRACTS_EXTENSIONS:[BOOKING_CONTRACT,EXTENSION_END_DATE,EXTENSION_START_DATE];DC_PRICING_MODEL:[PRICING_MODEL_NAME,PRICING_TYPE_ID];DC_BOOKINGS_CONTRACTS_RESPONSIBLE_USERS:[BOOKING_CONTRACT,DC_USER_ID,NOTES,SERVICE_ROLE_ID,SUB_ALLOCATION_HW,SUB_ALLOCATION_SW];DC_BOOKINGS_CONTRACTS:[unknown];DC_SOLD_AS_SERVICE_TYPES:[SERVICE_TYPE_ID,SOLD_AS_SERVICE_NAME]"
contracts.ts,createManagedContractLink,POST,/api/v2/contracts/linkable/,contracts.py,create_contracts_v2,/api/v2/contracts/{dc_engagement_id},DC_USERS;DC_ENGAGEMENT_HDR;DC_ENGAGEMENT_CONTRACTS;DC_CAM_TO_ENGAGEMENT,,,None,,,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_ENGAGEMENT_CONTRACTS:[ALLOWED_SERVICE_LEVELS,AM_END_DATE,AM_START_DATE,ASSET_MANAGEMENT_TYPE_ID,BOOKING_CONTRACT,CAMS,CONTRACT_NUMBER,DC_ENGAGEMENT_ID,MONITOR_REASON_TYPE_ID,SERVICE_CONTRACT_TYPE_ID];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID]"
contracts.ts,getContractsMonitor,GET,/api/v2/contracts/monitor/{dc_engagement_id},contracts.py,extract_contracts_v2,/api/v2/contracts/monitor/{dc_engagement_id},DC_USERS;DC_ENGAGEMENT_HDR;DC_CAM_TO_ENGAGEMENT;DC_MONITOR_SERVICE_CONTRACTS;DC_CONTRACT_MONITOR_TYPES,,,,,,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_MONITOR_SERVICE_CONTRACTS:[CONTRACT_NUMBER,DC_ENGAGEMENT_ID,MONITOR_NOTES,MONITOR_TYPE_ID];DC_CONTRACT_MONITOR_TYPES:[MONITOR_REASON,MONITOR_TYPE_ID]"
contracts.ts,createContractsMonitor,POST,/api/v2/contracts/monitor/{engagement_id},contracts.py,create_unmanaged_contracts_v2,/api/v2/contracts/monitor/{dc_engagement_id},DC_USERS;DC_ENGAGEMENT_HDR;DC_CAM_TO_ENGAGEMENT;DC_MONITOR_SERVICE_CONTRACTS,,,None,,,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_MONITOR_SERVICE_CONTRACTS:[CONTRACT_NUMBER,DC_ENGAGEMENT_ID,MONITOR_NOTES,MONITOR_TYPE_ID]"
contracts.ts,deleteMonitorContract,DELETE,/api/v2/contracts/monitor/{dc_engagement_id}/{contract_number},contracts.py,delete_unmanaged_contracts_v2,/api/v2/contracts/monitor/{dc_engagement_id}/{contract_number},DC_USERS;DC_ENGAGEMENT_HDR;DC_CAM_TO_ENGAGEMENT;DC_MONITOR_SERVICE_CONTRACTS,,,None,,,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_MONITOR_SERVICE_CONTRACTS:[CONTRACT_NUMBER,DC_ENGAGEMENT_ID,MONITOR_NOTES,MONITOR_TYPE_ID]"
contracts.ts,updateMonitorContract,PUT,/api/v2/contracts/monitor/{dc_engagement_id},contracts.py,put_unmanaged_contracts_v2,/api/v2/contracts/monitor/{dc_engagement_id},DC_USERS;DC_ENGAGEMENT_HDR;DC_CAM_TO_ENGAGEMENT;DC_MONITOR_SERVICE_CONTRACTS,,,None,,,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_ENGAGEMENT_HDR:[DC_ENGAGEMENT_ID,ENGAGEMENT_NAME,IS_CXEA,IS_SFC,IS_SOFTWARE,NOTES,SFC_AGREEMENT_TYPE];DC_CAM_TO_ENGAGEMENT:[DC_ENGAGEMENT_ID,USER_ID];DC_MONITOR_SERVICE_CONTRACTS:[CONTRACT_NUMBER,DC_ENGAGEMENT_ID,MONITOR_NOTES,MONITOR_TYPE_ID]"
dcTypes.ts,getDcTypes,GET,/api/v2/dc_types,dc_types.py,v2_get_dc_types,/api/v2/dc_types,DC_CONTRACT_ASSET_MGT_TYPES;DC_TYP_SIGNOFF_METHOD;DC_SDP_TYP_ANCHOR_DATE_ITERATOR;DC_BOOKINGS_USER_ROLE;DC_BUYING_PROGRAMS;DC_SALES_LEVEL;DC_TYP_BOOKING_TYPE;DC_SDP_TYP_ANCHOR_DATE;DC_PRICING_MODEL;DC_TYP_DEFER_SIGNOFF_REASON;DC_TYP_DISENGAGE;DC_TYP_SIGN_OFF_IDENTITY;DC_SDP_TYP_TASK_COMPLETION_REASON;DC_CONTRACT_TYPES;DC_TYP_ROOT_CAUSES;DC_THEATER;DC_ENGAGEMENT_STAKEHOLDER_TYPES;DC_TYP_SIGNOFF_EVENT;DC_TYP_BOOKING_OVERRIDE;DC_ENGAGEMENT_SFC_TYPES;DC_SOLD_AS_SERVICE_TYPES;DC_CONTRACT_MONITOR_TYPES,,,list[V2TableTypeMapping],"table_name,mappings",,"DC_CONTRACT_ASSET_MGT_TYPES:[AM_TYPE_ID,ASSET_MANAGEMENT_TYPE];DC_TYP_SIGNOFF_METHOD:[SIGNOFF_METHOD,SIGNOFF_METHOD_ID];DC_SDP_TYP_ANCHOR_DATE_ITERATOR:[ITERATOR_DATE_NAME,ITERATOR_ID];DC_BOOKINGS_USER_ROLE:[BOOKINGS_ROLE,BOOKINGS_ROLE_ID];DC_BUYING_PROGRAMS:[BUYING_PROGRAM_NAME,BUYING_PROGRAM_TYPE_ID];DC_SALES_LEVEL:[NODE_LEVEL1,NODE_LEVEL2,NODE_LEVEL3,NODE_LEVEL4,NODE_SEGMENT,SL_ID];DC_TYP_BOOKING_TYPE:[ID,VALUE];DC_SDP_TYP_ANCHOR_DATE:[ANCHOR_DATE_ID,ANCHOR_DATE_NAME];DC_PRICING_MODEL:[PRICING_MODEL_NAME,PRICING_TYPE_ID];DC_TYP_DEFER_SIGNOFF_REASON:[DEFER_SIGNOFF_REASON,DEFER_SIGNOFF_REASON_ID];DC_TYP_DISENGAGE:[DISENGAGEMENT_REASON,DISENGAGEMENT_REASON_ID];DC_TYP_SIGN_OFF_IDENTITY:[SIGN_OFF_IDENTITY,SIGN_OFF_IDENTITY_ID];DC_SDP_TYP_TASK_COMPLETION_REASON:[COMPLETION_DESC,COMPLETION_ID];DC_CONTRACT_TYPES:[CONTRACT_TYPE_ID,SERVICE_CONTRACT_TYPE];DC_TYP_ROOT_CAUSES:[ROOT_CAUSE,ROOT_CAUSE_ID];DC_THEATER:[THEATER_ID,THEATER_NAME];DC_ENGAGEMENT_STAKEHOLDER_TYPES:[STAKEHOLDER_TYPE,STAKEHOLDER_TYPE_ID];DC_TYP_SIGNOFF_EVENT:[SIGNOFF_EVENT,SIGNOFF_EVENT_ID];DC_TYP_BOOKING_OVERRIDE:[BOOKING_OVERRIDE_REASON,BOOKING_OVERRIDE_REASON_ID];DC_ENGAGEMENT_SFC_TYPES:[SFC_AGREEMENT_TYPE,SFC_TYPE_ID];DC_SOLD_AS_SERVICE_TYPES:[SERVICE_TYPE_ID,SOLD_AS_SERVICE_NAME];DC_CONTRACT_MONITOR_TYPES:[MONITOR_REASON,MONITOR_TYPE_ID]"
deliverables.ts,getDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables,sdp\deliverables.py,get_user_engagement_deliverables,/api/v2/sdp/deliverables/{dc_engagement_id}/deliverables,DC_USERS;DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER;DC_DELIVERABLES_CORE_ENG,,,list[UserSDPEngagementDeliverable],"task_id,task_desc,sub_task_id,subtask_desc,deliverable_id,deliverable_desc,time_cycle,cycle_days,due_date_offset,anchor_date,anchor_date_id,engagement_name,dc_engagement_id,booking_contract,buying_program_name,buying_program_type_id,sold_as_service_name,sold_as_service_type_id,pricing_model_name,pricing_model_type_id",,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER:[BOOKING_CONTRACT,DC_ENGAGEMENT_ID,DC_USER_ID];DC_DELIVERABLES_CORE_ENG:[unknown]"
deliverables.ts,getScheduledDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables/scheduled,sdp\deliverables.py,get_user_engagement_scheduled_deliverables,/api/v2/sdp/deliverables/{dc_engagement_id}/deliverables/scheduled,DC_USERS;DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER;DC_DELIVERABLES_OWED_SCHEDULED_ENG,,,list[UserSDPScheduledDeliverablesHeader],"header_name,booking_contract,task_desc,due_date,cycle,deliverable_id,tasks",,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER:[BOOKING_CONTRACT,DC_ENGAGEMENT_ID,DC_USER_ID];DC_DELIVERABLES_OWED_SCHEDULED_ENG:[unknown]"
deliverables.ts,getClosedDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables/closed,sdp\deliverables.py,get_user_engagement_closed_deliverables,/api/v2/sdp/deliverables/{dc_engagement_id}/deliverables/closed,DC_USERS;DC_DELIVERABLES_CLOSED_VIEW_ENG;DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER,,,list[UserSDPClosedDeliverablesHeader],"header_name,booking_contract,task_desc,due_date,cycle,deliverable_id,tasks",,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_DELIVERABLES_CLOSED_VIEW_ENG:[unknown];DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER:[BOOKING_CONTRACT,DC_ENGAGEMENT_ID,DC_USER_ID]"
deliverables.ts,getActiveDeliverables,GET,/api/v2/sdp/{engagement_id}/deliverables/active,sdp\deliverables.py,get_user_engagement_active_deliverables,/api/v2/sdp/deliverables/{dc_engagement_id}/deliverables/active,DC_USERS;DC_DELIVERABLES_LIVE_ENG;DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER,,,list[UserSDPActiveDeliverableHeader],"header_name,booking_contract,task_desc,due_date,cycle,deliverable_id,tasks",,"DC_USERS:[CISCO_CCO_ID,USER_ID,USER_TITLE];DC_DELIVERABLES_LIVE_ENG:[unknown];DC_ENGAGEMENT_TO_BOOKINGS_RESPONSIBLE_USER:[BOOKING_CONTRACT,DC_ENGAGEMENT_ID,DC_USER_ID]"
