primary_key,table_name,table_type,column_names,type,relationship_kind,primary_key_reference,schema_name
37,ALL_IB,VIEW,END_OF_SOFTWARE_MAINTENANCE_DT,DATE,COLUMN,N,CPS_DSCI_BR
38,ALL_IB,VIEW,END_OF_ROUTINE_FAIL_ANLYSYS_DT,DATE,COLUMN,N,CPS_DSCI_BR
39,ALL_IB,VIEW,EOL_SOFTWARE_AVAILABLE_DT,DATE,COLUMN,N,CPS_DSCI_BR
40,ALL_IB,VIEW,END_OF_SFTWR_LICENSE_AVAIL_DT,DATE,COLUMN,N,CPS_DSCI_BR
41,ALL_IB,VIEW,EOL_SIGNATURE_RELEASE_DT,DATE,COLUMN,N,CPS_DSCI_BR
42,ALL_IB,VIEW,END_OF_SVC_CONTRACT_RNWL_DT,DATE,COLUMN,N,CPS_DSCI_BR
43,ALL_IB,VIEW,END_OF_TAC_ENGG_SUPPORT_DT,DATE,COLUMN,N,CPS_DSCI_BR
44,ALL_IB,VIEW,END_OF_SALE_DT,DATE,COLUMN,N,CPS_DSCI_BR
45,ALL_IB,VIEW,GU_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
46,ALL_IB,VIEW,GU_NAME,VARCHAR(500),COLUMN,N,CPS_DSCI_BR
47,ALL_IB,VIEW,DECOM_ISH,VARCHAR(17),COLUMN,N,CPS_DSCI_BR
48,ALL_IB,VIEW,LAST_ADD_TO_COVERAGE_DATE,TIMESTAMP_NTZ(9),COLUMN,N,CPS_DSCI_BR
49,ALL_IB,VIEW,SHIP_DATE,TIMESTAMP_NTZ(9),COLUMN,N,CPS_DSCI_BR
50,ALL_IB,VIEW,IS_FRU,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
51,ALL_IB,VIEW,GREATEST_SERVICE_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR
52,ALL_IB,VIEW,GREATEST_PRODUCT_LIST_PRICE,FLOAT,COLUMN,N,CPS_DSCI_BR
53,ALL_IB,VIEW,ORPHAN_MINOR_1,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
54,ALL_IB,VIEW,ORPHAN_MINOR_2,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
55,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CSD_DEF_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
56,BV_CUSTOMER_SCOPE_DETAILS,VIEW,SMART_ACCOUNT_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
57,BV_CUSTOMER_SCOPE_DETAILS,VIEW,SMART_ACCOUNT_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
58,BV_CUSTOMER_SCOPE_DETAILS,VIEW,SA_DOMAIN_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
59,BV_CUSTOMER_SCOPE_DETAILS,VIEW,GU_PRIMARY_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
60,BV_CUSTOMER_SCOPE_DETAILS,VIEW,GU_PARTY_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
61,BV_CUSTOMER_SCOPE_DETAILS,VIEW,HQ_PRIMARY_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
62,BV_CUSTOMER_SCOPE_DETAILS,VIEW,HQ_PARTY_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
63,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BRANCH_PARTY_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
64,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BRANCH_PARTY_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
65,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BR_SALES_ORDER_COUNT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
66,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BR_INSTALL_BASE_ID_COUNT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
67,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BR_SW_GPL_AMT,"NUMBER(38,2)",COLUMN,N,CPS_DSCI_BR
68,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BR_HW_GPL_AMT,"NUMBER(38,2)",COLUMN,N,CPS_DSCI_BR
69,BV_CUSTOMER_SCOPE_DETAILS,VIEW,SAVM_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
70,BV_CUSTOMER_SCOPE_DETAILS,VIEW,SAVM_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
71,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CAV_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
72,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CAV_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
73,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CAV_BU_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
74,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CAV_BU_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
75,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CISCO_OPERATING_UNIT,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
76,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_SITE_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
77,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_SITE_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
78,BV_CUSTOMER_SCOPE_DETAILS,VIEW,IS_SW_GPL_AMT,"NUMBER(38,2)",COLUMN,N,CPS_DSCI_BR
79,BV_CUSTOMER_SCOPE_DETAILS,VIEW,IS_HW_GPL_AMT,"NUMBER(38,2)",COLUMN,N,CPS_DSCI_BR
80,BV_CUSTOMER_SCOPE_DETAILS,VIEW,IS_SALES_ORDER_COUNT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
81,BV_CUSTOMER_SCOPE_DETAILS,VIEW,IS_INSTALL_BASE_ID_COUNT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
82,BV_CUSTOMER_SCOPE_DETAILS,VIEW,ACTIVE_FLAG,VARCHAR(20),COLUMN,N,CPS_DSCI_BR
83,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CREATED_DATETIME,TIMESTAMP_NTZ(9),COLUMN,N,CPS_DSCI_BR
84,BV_CUSTOMER_SCOPE_DETAILS,VIEW,UPDATE_DATETIME,TIMESTAMP_NTZ(9),COLUMN,N,CPS_DSCI_BR
85,BV_CUSTOMER_SCOPE_DETAILS,VIEW,TAGS,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
86,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_COUNTRY,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
87,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_SITE_LINE_1_ADDR,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
88,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_SITE_CITY,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
89,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_SITE_STATE,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
90,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_SITE_POSTAL_CD,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
91,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INSTALL_SITE_STATUS,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
92,BV_CUSTOMER_SCOPE_DETAILS,VIEW,L6_SALES_TERRITORY_DESCR,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
93,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BRANCH_ADDRESS,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
94,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BRANCH_CITY,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
95,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BRANCH_STATE,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
96,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BRANCH_COUNTRY,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
97,BV_CUSTOMER_SCOPE_DETAILS,VIEW,BRANCH_ZIP_CD,VARCHAR(16777216),COLUMN,N,CPS_DSCI_BR
98,BV_CUSTOMER_SCOPE_DETAILS,VIEW,MD5_KEY,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
99,BV_CUSTOMER_SCOPE_DETAILS,VIEW,CSD_SEARCH_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
100,BV_CUSTOMER_SCOPE_DETAILS,VIEW,NEW_RECORD_FLG,VARCHAR(20),COLUMN,N,CPS_DSCI_BR
101,BV_CUSTOMER_SCOPE_DETAILS,VIEW,INVALID_RECORD_FLG,VARCHAR(20),COLUMN,N,CPS_DSCI_BR
102,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,CSD_DEF_ID,VARCHAR(16777216),COLUMN,N,CPS_BIA_BR
103,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,GROUPING_NAME,VARCHAR(720),COLUMN,N,CPS_BIA_BR
104,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,CUSTOMER_DEFINITION_NAME,VARCHAR(255),COLUMN,N,CPS_BIA_BR
105,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,DESCRIPTION,VARCHAR(720),COLUMN,N,CPS_BIA_BR
106,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,ACTIVE_FLAG,VARCHAR(20),COLUMN,N,CPS_BIA_BR
107,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,IS_IB_CNT,"NUMBER(38,0)",COLUMN,N,CPS_BIA_BR
108,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,OWNER_CEC_ID,VARCHAR(100),COLUMN,N,CPS_BIA_BR
109,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,CREATE_DTM,TIMESTAMP_NTZ(9),COLUMN,N,CPS_BIA_BR
110,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,LAST_UPDATE_DTM,TIMESTAMP_NTZ(9),COLUMN,N,CPS_BIA_BR
111,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,OFFICIAL_FLAG,VARCHAR(20),COLUMN,N,CPS_BIA_BR
112,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,PUBLISHED_FLAG,VARCHAR(20),COLUMN,N,CPS_BIA_BR
113,BV_CUSTOMER_SCOPE_DISCOVERY_HEADER,VIEW,NOTIFICATIONS_FLAG,VARCHAR(20),COLUMN,N,CPS_BIA_BR
114,BV_DSCI_TS_SERVICES_ATR,VIEW,INSTANCE_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
115,BV_DSCI_TS_SERVICES_ATR,VIEW,CONTRACT_LINE_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
116,BV_DSCI_TS_SERVICES_ATR,VIEW,CONTRACT_NUMBER,VARCHAR(50),COLUMN,N,CPS_DSCI_BR
117,BV_DSCI_TS_SERVICES_ATR,VIEW,SERVICE_PRODUCTS_CONTRACT_TYPE,VARCHAR(50),COLUMN,N,CPS_DSCI_BR
118,BV_DSCI_TS_SERVICES_ATR,VIEW,COVERED_LINE_STATUS,VARCHAR(20),COLUMN,N,CPS_DSCI_BR
119,BV_DSCI_TS_SERVICES_ATR,VIEW,CONTRACT_LINE_START_DATE,DATE,COLUMN,N,CPS_DSCI_BR
120,BV_DSCI_TS_SERVICES_ATR,VIEW,CONTRACT_LINE_END_DATE,DATE,COLUMN,N,CPS_DSCI_BR
121,BV_DSCI_TS_SERVICES_ATR,VIEW,CONTRACT_END_QUARTER,VARCHAR(32),COLUMN,N,CPS_DSCI_BR
122,BV_DSCI_TS_SERVICES_ATR,VIEW,PRODUCT_NAME,VARCHAR(50),COLUMN,N,CPS_DSCI_BR
123,BV_DSCI_TS_SERVICES_ATR,VIEW,SERIAL_NUMBER,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
124,BV_DSCI_TS_SERVICES_ATR,VIEW,PARENT_INSTANCE_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
125,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_GU_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
126,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_GU_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
127,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_HQ_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
128,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_HQ_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
129,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CR_PARTY_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
130,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CR_PARTY_NAME,VARCHAR(720),COLUMN,N,CPS_DSCI_BR
131,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CUSTOMER_ADDRESS1,VARCHAR(510),COLUMN,N,CPS_DSCI_BR
132,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CUSTOMER_ADDRESS2,VARCHAR(510),COLUMN,N,CPS_DSCI_BR
133,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CUSTOMER_CITY,VARCHAR(510),COLUMN,N,CPS_DSCI_BR
134,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CUSTOMER_STATE_PROVINCE,VARCHAR(510),COLUMN,N,CPS_DSCI_BR
135,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CUSTOMER_COUNTY,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
136,BV_DSCI_TS_SERVICES_ATR,VIEW,BEST_SITE_CUSTOMER_ZIP_CODE,VARCHAR(100),COLUMN,N,CPS_DSCI_BR
137,BV_DSCI_TS_SERVICES_ATR,VIEW,CONTRACT_LINE_ADJUSTMENT_AMOUNT_LOGIC,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
138,BV_DSCI_TS_SERVICES_ATR,VIEW,SERVICE_SALES_ORDER,VARCHAR(40),COLUMN,N,CPS_DSCI_BR
139,BV_DSCI_TS_SERVICES_ATR,VIEW,SERVICE_PURCHASE_ORDER_NUMBER,VARCHAR(240),COLUMN,N,CPS_DSCI_BR
140,BV_DSCI_TS_SERVICES_ATR,VIEW,INSTANCE_SHIPPED_DATE,DATE,COLUMN,N,CPS_DSCI_BR
141,BV_DSCI_TS_SERVICES_ATR,VIEW,LAST_DATE_OF_SUPPORT_DATE,DATE,COLUMN,N,CPS_DSCI_BR
142,BV_DSCI_TS_SERVICES_ATR,VIEW,PRODUCT_TYPE,VARCHAR(50),COLUMN,N,CPS_DSCI_BR
143,BV_DSCI_TS_SERVICES_ATR,VIEW,LDOS_CODE,VARCHAR(20),COLUMN,N,CPS_DSCI_BR
144,BV_DSCI_TS_SERVICES_ATR,VIEW,LDOS_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
145,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_GROUP_NAME,VARCHAR(360),COLUMN,N,CPS_DSCI_BR
146,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_GROUP_ID,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
147,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_SALES_LEVEL_1_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
148,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_SALES_LEVEL_2_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
149,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_SALES_LEVEL_3_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
150,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_SALES_LEVEL_4_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
151,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_SALES_LEVEL_5_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
152,BV_DSCI_TS_SERVICES_ATR,VIEW,SAVM_SALES_LEVEL_6_NAME,VARCHAR(255),COLUMN,N,CPS_DSCI_BR
153,BV_DSCI_TS_SERVICES_ATR,VIEW,SWEEPS_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
154,BV_DSCI_TS_SERVICES_ATR,VIEW,BEGINING_ANNUAL_AVAILABLE_TO_RENEW,FLOAT,COLUMN,N,CPS_DSCI_BR
155,BV_DSCI_TS_SERVICES_ATR,VIEW,BEGINING_ANNUALIZED_AVAILABLE_TO_RENEW,FLOAT,COLUMN,N,CPS_DSCI_BR
156,BV_DSCI_TS_SERVICES_ATR,VIEW,BEGINING_TOTAL_CONTRACT_VALUE,FLOAT,COLUMN,N,CPS_DSCI_BR
157,BV_DSCI_TS_SERVICES_ATR,VIEW,REMAINING_ANNUALIZED_AVAILABLE_TO_RENEW,FLOAT,COLUMN,N,CPS_DSCI_BR
158,BV_DSCI_TS_SERVICES_ATR,VIEW,REMAINING_TOTAL_CONTRACT_VALUE,FLOAT,COLUMN,N,CPS_DSCI_BR
159,BV_DSCI_TS_SERVICES_ATR,VIEW,REMAINING_ANNUAL_AVAILABLE_TO_RENEW,FLOAT,COLUMN,N,CPS_DSCI_BR
160,BV_SALES_ORDER_LINE,VIEW,SALES_ORDER_LINE_KEY,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
161,BV_SALES_ORDER_LINE,VIEW,BK_COMPANY_CODE,VARCHAR(3),COLUMN,N,CPS_DSCI_BR
162,BV_SALES_ORDER_LINE,VIEW,BK_SET_OF_BOOKS_KEY,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
163,BV_SALES_ORDER_LINE,VIEW,BK_SO_NUMBER_INT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
164,BV_SALES_ORDER_LINE,VIEW,BK_SO_LINE_NUMBER_INT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
165,BV_SALES_ORDER_LINE,VIEW,BK_SHIPMENT_LOT_NUMBER_INT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
166,BV_SALES_ORDER_LINE,VIEW,BK_OPTION_NUMBER_INT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
167,BV_SALES_ORDER_LINE,VIEW,BK_SHIP_FROM_INV_ORG_NAME_CODE,VARCHAR(50),COLUMN,N,CPS_DSCI_BR
168,BV_SALES_ORDER_LINE,VIEW,START_TV_DATETIME,TIMESTAMP_NTZ(0),COLUMN,N,CPS_DSCI_BR
169,BV_SALES_ORDER_LINE,VIEW,START_SSP_DATE,DATE,COLUMN,N,CPS_DSCI_BR
170,BV_SALES_ORDER_LINE,VIEW,END_TV_DATETIME,TIMESTAMP_NTZ(0),COLUMN,N,CPS_DSCI_BR
171,BV_SALES_ORDER_LINE,VIEW,END_SSP_DATE,DATE,COLUMN,N,CPS_DSCI_BR
172,BV_SALES_ORDER_LINE,VIEW,BOOKINGS_PERCENT,"NUMBER(18,6)",COLUMN,N,CPS_DSCI_BR
173,BV_SALES_ORDER_LINE,VIEW,ORDER_QUANTITY,"NUMBER(18,6)",COLUMN,N,CPS_DSCI_BR
174,BV_SALES_ORDER_LINE,VIEW,UNIT_SALE_PRICE,"NUMBER(18,6)",COLUMN,N,CPS_DSCI_BR
175,BV_SALES_ORDER_LINE,VIEW,UNIT_LIST_PRICE,"NUMBER(18,6)",COLUMN,N,CPS_DSCI_BR
176,BV_SALES_ORDER_LINE,VIEW,UNIT_TRADE_IN_USD_AMOUNT,"NUMBER(18,6)",COLUMN,N,CPS_DSCI_BR
177,BV_SALES_ORDER_LINE,VIEW,REVENUE_TYPE_CODE,VARCHAR(32),COLUMN,N,CPS_DSCI_BR
178,BV_SALES_ORDER_LINE,VIEW,ITEM_TYPE_CODE,VARCHAR(30),COLUMN,N,CPS_DSCI_BR
179,BV_SALES_ORDER_LINE,VIEW,CISCO_BOOKED_DATETIME,TIMESTAMP_NTZ(0),COLUMN,N,CPS_DSCI_BR
180,BV_SALES_ORDER_LINE,VIEW,CISCO_BOOKED_STATUS_CODE,VARCHAR(32),COLUMN,N,CPS_DSCI_BR
181,BV_SALES_ORDER_LINE,VIEW,SHIPPED_QUANTITY,"NUMBER(18,6)",COLUMN,N,CPS_DSCI_BR
182,BV_SALES_ORDER_LINE,VIEW,SO_LINE_CLOSED_DATE,DATE,COLUMN,N,CPS_DSCI_BR
183,BV_SALES_ORDER_LINE,VIEW,ERP_SHIP_TO_CONTACT_ID_INT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
184,BV_SALES_ORDER_LINE,VIEW,SO_LINE_OPEN_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
185,BV_SALES_ORDER_LINE,VIEW,SCHEDULED_SHIP_DATE,DATE,COLUMN,N,CPS_DSCI_BR
186,BV_SALES_ORDER_LINE,VIEW,CUST_REQUESTED_SHIPMENT_DATE,DATE,COLUMN,N,CPS_DSCI_BR
187,BV_SALES_ORDER_LINE,VIEW,PROMISED_TO_CUST_SHIPMENT_DATE,DATE,COLUMN,N,CPS_DSCI_BR
188,BV_SALES_ORDER_LINE,VIEW,CUST_SHIPMENT_RECOMMIT_DATE,DATE,COLUMN,N,CPS_DSCI_BR
189,BV_SALES_ORDER_LINE,VIEW,SHIP_SET_NUMBER_INT,"NUMBER(38,0)",COLUMN,N,CPS_DSCI_BR
190,BV_SALES_ORDER_LINE,VIEW,INVOICED_QUANTITY,"NUMBER(18,6)",COLUMN,N,CPS_DSCI_BR
191,BV_SALES_ORDER_LINE,VIEW,SHIPMENT_CONFIRMED_RESULT_CODE,VARCHAR(9),COLUMN,N,CPS_DSCI_BR
192,BV_SALES_ORDER_LINE,VIEW,SHIPMENT_CONFIRMED_DATE,DATE,COLUMN,N,CPS_DSCI_BR
193,BV_SALES_ORDER_LINE,VIEW,FACTORY_RECOMMIT_DATE,DATE,COLUMN,N,CPS_DSCI_BR
194,BV_SALES_ORDER_LINE,VIEW,FREIGHT_CARRIER_CODE,VARCHAR(50),COLUMN,N,CPS_DSCI_BR
195,BV_SALES_ORDER_LINE,VIEW,PICK_RELEASE_DATE,DATE,COLUMN,N,CPS_DSCI_BR
196,BV_SALES_ORDER_LINE,VIEW,PICK_RELEASE_RESULT_CODE,VARCHAR(8),COLUMN,N,CPS_DSCI_BR
197,BV_SALES_ORDER_LINE,VIEW,CISCO_SCHEDULE_RESULT_CODE,VARCHAR(30),COLUMN,N,CPS_DSCI_BR
198,BV_SALES_ORDER_LINE,VIEW,CISCO_SCHEDULE_RESULT_DATE,DATE,COLUMN,N,CPS_DSCI_BR
199,BV_SALES_ORDER_LINE,VIEW,SO_LINE_OPTION_FLAG,VARCHAR(1),COLUMN,N,CPS_DSCI_BR
